mass_A
t,x,y,v_{x},v_{y}
1.255833333E1,6.442942887E0,3.049650236E-1,-4.402795100E1,-0.000000000E0
1.256666667E1,6.056732790E0,3.822070429E-1,-3.939342984E1,-0.000000000E0
1.257500000E1,5.786385723E0,3.049650236E-1,-4.171069042E1,-1.158630289E1
1.258333333E1,5.361554617E0,1.891019947E-1,-4.402795100E1,-6.951781737E0
1.259166667E1,5.052586540E0,1.891019947E-1,-4.634521158E1,-6.951781737E0
1.260000000E1,4.589134424E0,7.323896574E-2,-5.793151447E1,-6.951781737E0
1.260833333E1,4.087061298E0,7.323896574E-2,-5.329699331E1,-0.000000000E0
1.261666667E1,3.700851202E0,7.323896574E-2,-5.468734966E2,-0.000000000E0
1.262500000E1,-5.027496979E0,7.323896574E-2,-5.445562360E2,2.317260579E0
1.263333333E1,-5.375086065E0,1.118599754E-1,-4.171069042E1,4.634521158E0
1.264166667E1,-5.722675152E0,1.504809850E-1,-3.475890868E1,4.634521158E0
1.265000000E1,-5.954401210E0,1.891019947E-1,-3.707616926E1,9.269042316E0
1.265833333E1,-6.340611307E0,3.049650236E-1,-3.475890868E1,6.951781737E0
1.266666667E1,-6.533716355E0,3.049650236E-1,-3.012438753E1,2.317260579E0
1.267500000E1,-6.842684432E0,3.435860333E-1,-4.634521158E1,9.269042316E0
1.268333333E1,-7.306136548E0,4.594490622E-1,-4.402795100E1,9.269042316E0
1.269166667E1,-7.576483615E0,4.980700719E-1,-2.317260579E1,4.634521158E0
1.270000000E1,-7.692346644E0,5.366910815E-1,-1.158630289E1,6.951781737E0
1.270833333E1,-7.769588664E0,6.139331008E-1,-1.158630289E1,6.951781737E0
1.271666667E1,-7.885451693E0,6.525541105E-1,-1.158630289E1,4.634521158E0
1.272500000E1,-7.962693712E0,6.911751201E-1,-9.269042316E0,6.951781737E0
1.273333333E1,-8.039935731E0,7.684171394E-1,2.317260579E0,-0.000000000E0
1.274166667E1,-7.924072702E0,6.911751201E-1,1.622082405E1,-1.158630289E1
1.275000000E1,-7.769588664E0,5.753120912E-1,2.317260579E1,-1.158630289E1
1.275833333E1,-7.537862606E0,4.980700719E-1,1.853808463E1,-4.634521158E0
1.276666667E1,-7.460620586E0,4.980700719E-1,1.853808463E1,-6.951781737E0
1.277500000E1,-7.228894529E0,3.822070429E-1,2.317260579E1,-1.158630289E1
1.278333333E1,-7.074410490E0,3.049650236E-1,3.012438753E1,-6.951781737E0
1.279166667E1,-6.726821403E0,2.663440140E-1,3.939342984E1,-4.634521158E0
1.280000000E1,-6.417853326E0,2.277230043E-1,2.780712695E1,-2.317260579E0
1.280833333E1,-6.263369287E0,2.277230043E-1,1.622082405E1,-0.000000000E0
1.281666667E1,-6.147506258E0,2.277230043E-1,2.548986637E1,-2.317260579E0
1.282500000E1,-5.838538181E0,1.891019947E-1,3.939342984E1,-4.634521158E0
1.283333333E1,-5.490949094E0,1.504809850E-1,4.402795100E1,-6.951781737E0
1.284166667E1,-5.104738998E0,7.323896574E-2,4.634521158E1,-4.634521158E0
1.285000000E1,-4.718528901E0,7.323896574E-2,4.634521158E1,-2.317260579E0
1.285833333E1,-4.332318805E0,3.461795609E-2,4.634521158E1,1.658861516E-13
1.286666667E1,-3.946108708E0,7.323896574E-2,5.561425389E2,6.951781737E0
1.287500000E1,4.936723511E0,1.504809850E-1,5.491907572E2,6.951781737E0
1.288333333E1,5.207070578E0,1.891019947E-1,3.707616926E1,6.951781737E0
1.289166667E1,5.554659665E0,2.663440140E-1,4.171069042E1,6.951781737E0
1.290000000E1,5.902248752E0,3.049650236E-1,3.939342984E1,4.634521158E0
1.290833333E1,6.211216829E0,3.435860333E-1,3.475890868E1,4.634521158E0
1.291666667E1,6.481563897E0,3.822070429E-1,3.475890868E1,6.951781737E0
1.292500000E1,6.790531974E0,4.594490622E-1,3.012438753E1,9.269042316E0
1.293333333E1,6.983637022E0,5.366910815E-1,2.548986637E1,6.951781737E0
1.294166667E1,7.215363080E0,5.753120912E-1,2.085534521E1,4.634521158E0
1.295000000E1,7.331226109E0,6.139331008E-1,1.158630289E1,4.634521158E0
1.295833333E1,7.408468128E0,6.525541105E-1,9.269042316E0,4.634521158E0
1.296666667E1,7.485710147E0,6.911751201E-1,1.158630289E1,4.634521158E0
1.297500000E1,7.601573176E0,7.297961298E-1,9.269042316E0,2.317260579E0
1.298333333E1,7.640194186E0,7.297961298E-1,2.317260579E0,-0.000000000E0
1.299166667E1,7.640194186E0,7.297961298E-1,-4.634521158E0,-0.000000000E0
1.300000000E1,7.562952167E0,7.297961298E-1,-1.390356347E1,-4.634521158E0
1.300833333E1,7.408468128E0,6.525541105E-1,-1.622082405E1,-1.158630289E1
1.301666667E1,7.292605099E0,5.366910815E-1,-2.317260579E1,-1.390356347E1
1.302500000E1,7.022258032E0,4.208280526E-1,-2.548986637E1,-9.269042316E0
1.303333333E1,6.867773993E0,3.822070429E-1,-2.085534521E1,-6.951781737E0
1.304166667E1,6.674668945E0,3.049650236E-1,-2.780712695E1,-6.951781737E0
1.305000000E1,6.404321877E0,2.663440140E-1,-2.548986637E1,-2.317260579E0
1.305833333E1,6.249837839E0,2.663440140E-1,-2.548986637E1,-4.634521158E0
1.306666667E1,5.979490771E0,1.891019947E-1,-3.244164810E1,-6.951781737E0
1.307500000E1,5.709143704E0,1.504809850E-1,-3.475890868E1,-4.634521158E0
1.308333333E1,5.400175626E0,1.118599754E-1,-4.866247216E1,-2.317260579E0
1.309166667E1,4.898102501E0,1.118599754E-1,-4.866247216E1,-2.317260579E0
1.310000000E1,4.589134424E0,7.323896574E-2,-4.402795100E1,-2.317260579E0
1.310833333E1,4.164303318E0,7.323896574E-2,-5.329699331E1,-1.658861516E-13
1.311666667E1,3.700851202E0,7.323896574E-2,-4.402795100E1,-0.000000000E0
1.312500000E1,3.430504134E0,7.323896574E-2,-5.329699331E2,4.634521158E0
1.313333333E1,-5.181981017E0,1.504809850E-1,-5.329699331E2,6.951781737E0
1.314166667E1,-5.452328085E0,1.891019947E-1,-3.244164810E1,6.951781737E0
1.315000000E1,-5.722675152E0,2.663440140E-1,-3.244164810E1,9.269042316E0
1.315833333E1,-5.993022220E0,3.435860333E-1,-2.780712695E1,4.634521158E0
1.316666667E1,-6.186127268E0,3.435860333E-1,-2.780712695E1,2.317260579E0
1.317500000E1,-6.456474336E0,3.822070429E-1,-2.780712695E1,4.634521158E0
1.318333333E1,-6.649579384E0,4.208280526E-1,-2.085534521E1,2.317260579E0
1.319166667E1,-6.804063422E0,4.208280526E-1,-2.085534521E1,-0.000000000E0
1.320000000E1,-6.997168471E0,4.208280526E-1,-2.317260579E1,4.634521158E0
1.320833333E1,-7.190273519E0,4.980700719E-1,-1.622082405E1,4.634521158E0
1.321666667E1,-7.267515538E0,4.980700719E-1,-1.390356347E1,-0.000000000E0
1.322500000E1,-7.421999577E0,4.980700719E-1,-1.158630289E1,2.317260579E0
1.323333333E1,-7.460620586E0,5.366910815E-1,0.000000000E0,2.317260579E0
1.324166667E1,-7.421999577E0,5.366910815E-1,4.634521158E0,-2.317260579E0
1.325000000E1,-7.383378567E0,4.980700719E-1,9.269042316E0,-4.634521158E0
1.325833333E1,-7.267515538E0,4.594490622E-1,1.853808463E1,-6.951781737E0
1.326666667E1,-7.074410490E0,3.822070429E-1,2.317260579E1,-4.634521158E0
1.327500000E1,-6.881305442E0,3.822070429E-1,2.085534521E1,-2.317260579E0
1.328333333E1,-6.726821403E0,3.435860333E-1,1.622082405E1,-2.317260579E0
1.329166667E1,-6.610958374E0,3.435860333E-1,1.622082405E1,-2.317260579E0
1.330000000E1,-6.456474336E0,3.049650236E-1,1.622082405E1,-4.634521158E0
1.330833333E1,-6.340611307E0,2.663440140E-1,2.548986637E1,-6.951781737E0
1.331666667E1,-6.031643229E0,1.891019947E-1,3.939342984E1,-6.951781737E0
1.332500000E1,-5.684054143E0,1.504809850E-1,4.402795100E1,-2.317260579E0
1.333333333E1,-5.297844046E0,1.504809850E-1,4.634521158E1,-2.317260579E0
1.334166667E1,-4.911633950E0,1.118599754E-1,3.939342984E1,-4.634521158E0
1.335000000E1,-4.641286882E0,7.323896574E-2,3.475890868E1,-0.000000000E0
1.335833333E1,-4.332318805E0,1.118599754E-1,4.634521158E1,2.317260579E0
1.336666667E1,-3.868866689E0,1.118599754E-1,4.866247216E1,-0.000000000E0
1.337500000E1,-3.521277602E0,1.118599754E-1,5.445562360E2,4.634521158E0
1.338333333E1,5.207070578E0,1.891019947E-1,5.376044543E2,6.951781737E0
1.339166667E1,5.438796636E0,2.277230043E-1,2.780712695E1,2.317260579E0
1.340000000E1,5.670522694E0,2.277230043E-1,3.475890868E1,6.951781737E0
1.340833333E1,6.018111781E0,3.435860333E-1,3.012438753E1,4.634521158E0
1.341666667E1,6.172595819E0,3.049650236E-1,2.085534521E1,2.317260579E0
1.342500000E1,6.365700868E0,3.822070429E-1,2.085534521E1,6.951781737E0
1.343333333E1,6.520184906E0,4.208280526E-1,1.853808463E1,2.317260579E0
1.344166667E1,6.674668945E0,4.208280526E-1,1.853808463E1,2.317260579E0
1.345000000E1,6.829152983E0,4.594490622E-1,1.622082405E1,2.317260579E0
1.345833333E1,6.945016012E0,4.594490622E-1,1.853808463E1,-0.000000000E0
1.346666667E1,7.138121061E0,4.594490622E-1,1.622082405E1,2.317260579E0
1.347500000E1,7.215363080E0,4.980700719E-1,4.634521158E0,2.317260579E0
1.348333333E1,7.215363080E0,4.980700719E-1,-2.317260579E0,1.658861516E-13
1.349166667E1,7.176742070E0,4.980700719E-1,-6.951781737E0,-2.317260579E0
1.350000000E1,7.099500051E0,4.594490622E-1,-4.634521158E0,-2.317260579E0
1.350833333E1,7.099500051E0,4.594490622E-1,-1.158630289E1,-2.317260579E0
1.351666667E1,6.906395003E0,4.208280526E-1,-2.085534521E1,-6.951781737E0
1.352500000E1,6.751910964E0,3.435860333E-1,-2.317260579E1,-6.951781737E0
1.353333333E1,6.520184906E0,3.049650236E-1,-2.317260579E1,-4.634521158E0
1.354166667E1,6.365700868E0,2.663440140E-1,-1.158630289E1,-4.634521158E0
1.355000000E1,6.327079858E0,2.277230043E-1,-3.012438753E1,-0.000000000E0
1.355833333E1,5.863627742E0,2.663440140E-1,-3.707616926E1,-0.000000000E0
1.356666667E1,5.709143704E0,2.277230043E-1,-2.548986637E1,-4.634521158E0
1.357500000E1,5.438796636E0,1.891019947E-1,-3.475890868E1,-2.317260579E0
1.358333333E1,5.129828559E0,1.891019947E-1,-3.939342984E1,-0.000000000E0
1.359166667E1,4.782239472E0,1.891019947E-1,-3.475890868E1,-0.000000000E0
1.360000000E1,4.550513414E0,1.891019947E-1,-3.707616926E1,-2.317260579E0
1.360833333E1,4.164303318E0,1.504809850E-1,-3.939342984E1,-2.317260579E0
1.361666667E1,3.893956250E0,1.504809850E-1,-4.171069042E1,-0.000000000E0
1.362500000E1,3.469125144E0,1.504809850E-1,-5.376044543E2,-0.000000000E0
1.363333333E1,-5.066117988E0,1.504809850E-1,-5.213836302E2,-0.000000000E0
1.364166667E1,-5.220602027E0,1.504809850E-1,-2.780712695E1,4.634521158E0
1.365000000E1,-5.529570104E0,2.277230043E-1,-3.244164810E1,4.634521158E0
1.365833333E1,-5.761296162E0,2.277230043E-1,-2.548986637E1,2.317260579E0
1.366666667E1,-5.954401210E0,2.663440140E-1,-2.548986637E1,2.317260579E0
1.367500000E1,-6.186127268E0,2.663440140E-1,-2.780712695E1,2.317260579E0
1.368333333E1,-6.417853326E0,3.049650236E-1,-2.317260579E1,2.317260579E0
1.369166667E1,-6.572337364E0,3.049650236E-1,-1.622082405E1,2.317260579E0
1.370000000E1,-6.688200393E0,3.435860333E-1,-1.622082405E1,6.951781737E0
1.370833333E1,-6.842684432E0,4.208280526E-1,-1.390356347E1,4.634521158E0
1.371666667E1,-6.919926451E0,4.208280526E-1,-1.158630289E1,2.317260579E0
