mass_A
t,x,y,v_{x},v_{y}
9.525000000E0,3.897339112E-2,3.648980649E-3,-3.591753897E-1,-1.506219376E-1
9.533333333E0,3.549750025E-2,2.297245311E-3,-4.171069042E-1,-1.737945434E-1
9.541666667E0,3.202160939E-2,7.524049252E-4,-4.750384187E-1,-8.110412026E-2
9.550000000E0,2.758019328E-2,9.455099734E-4,-4.982110245E-1,-1.158630289E-2
9.558333333E0,2.371809231E-2,5.592998769E-4,-4.286932071E-1,-2.317260579E-2
9.566666667E0,2.043530649E-2,5.592998769E-4,-2.908162027E0,1.158630289E-2
9.575000000E0,-2.475127480E-2,7.524049252E-4,-2.989266147E0,3.475890868E-2
9.583333333E0,-2.938579595E-2,1.138615022E-3,-4.982110245E-1,6.951781737E-2
9.591666667E0,-3.305479187E-2,1.911035215E-3,-4.171069042E-1,1.042767260E-1
9.600000000E0,-3.633757769E-2,2.876560456E-3,-3.475890868E-1,9.269042316E-2
9.608333333E0,-3.884794332E-2,3.455875601E-3,-3.244164810E-1,8.110412026E-2
9.616666667E0,-4.174451904E-2,4.228295794E-3,-3.244164810E-1,1.506219376E-1
9.625000000E0,-4.425488467E-2,5.966241228E-3,-2.896575724E-1,1.853808463E-1
9.633333333E0,-4.657214525E-2,7.317976565E-3,-2.664849666E-1,1.506219376E-1
9.641666667E0,-4.869630078E-2,8.476606855E-3,-2.317260579E-1,1.390356347E-1
9.650000000E0,-5.043424621E-2,9.635237144E-3,-1.853808463E-1,1.274493318E-1
9.658333333E0,-5.178598155E-2,1.060076239E-2,-1.622082405E-1,1.158630289E-1
9.666666667E0,-5.313771689E-2,1.156628763E-2,-1.274493318E-1,1.042767260E-1
9.675000000E0,-5.391013708E-2,1.233870782E-2,-1.042767260E-1,9.269042316E-2
9.683333333E0,-5.487566232E-2,1.311112801E-2,-6.951781737E-2,6.951781737E-2
9.691666667E0,-5.506876737E-2,1.349733811E-2,1.158630289E-2,-0.000000000E0
9.700000000E0,-5.468255727E-2,1.311112801E-2,4.634521158E-2,-4.634521158E-2
9.708333333E0,-5.429634718E-2,1.272491792E-2,6.951781737E-2,-6.951781737E-2
9.716666667E0,-5.352392698E-2,1.195249772E-2,8.110412026E-2,-9.269042316E-2
9.725000000E0,-5.294461184E-2,1.118007753E-2,5.793151447E-2,-8.110412026E-2
9.733333333E0,-5.255840174E-2,1.060076239E-2,1.042767260E-1,-9.269042316E-2
9.741666667E0,-5.120666641E-2,9.635237144E-3,2.201397550E-1,-1.506219376E-1
9.750000000E0,-4.888940583E-2,8.090396758E-3,2.664849666E-1,-1.622082405E-1
9.758333333E0,-4.676525030E-2,6.931766469E-3,3.012438753E-1,-1.506219376E-1
9.766666667E0,-4.386867457E-2,5.580031131E-3,3.591753897E-1,-1.506219376E-1
9.775000000E0,-4.077899380E-2,4.421400842E-3,3.244164810E-1,-1.158630289E-1
9.783333333E0,-3.846173322E-2,3.648980649E-3,4.171069042E-1,-1.390356347E-1
9.791666667E0,-3.382721206E-2,2.104140263E-3,4.402795100E-1,-1.042767260E-1
9.800000000E0,-3.112374139E-2,1.911035215E-3,3.360027839E-1,-1.158630289E-2
9.808333333E0,-2.822716566E-2,1.911035215E-3,4.402795100E-1,-1.158630289E-2
9.816666667E0,-2.378574956E-2,1.717930166E-3,4.982110245E-1,-1.158630289E-2
9.825000000E0,-1.992364859E-2,1.717930166E-3,2.989266147E0,-3.475890868E-2
9.833333333E0,2.603535289E-2,1.138615022E-3,2.931334632E0,-1.158630289E-2
9.841666667E0,2.893192861E-2,1.524825118E-3,3.128301781E-1,4.634521158E-2
9.850000000E0,3.124918919E-2,1.911035215E-3,3.360027839E-1,5.793151447E-2
9.858333333E0,3.453197501E-2,2.490350359E-3,4.402795100E-1,9.269042316E-2
9.866666667E0,3.858718103E-2,3.455875601E-3,3.360027839E-1,1.042767260E-1
9.875000000E0,4.013202141E-2,4.228295794E-3,2.317260579E-1,1.274493318E-1
9.883333333E0,4.244928199E-2,5.580031131E-3,2.780712695E-1,1.506219376E-1
9.891666667E0,4.476654257E-2,6.738661421E-3,2.780712695E-1,1.274493318E-1
9.900000000E0,4.708380315E-2,7.704186662E-3,2.317260579E-1,1.390356347E-1
9.908333333E0,4.862864354E-2,9.055922000E-3,1.622082405E-1,1.158630289E-1
9.916666667E0,4.978727382E-2,9.635237144E-3,1.737945434E-1,1.042767260E-1
9.925000000E0,5.152521926E-2,1.079386743E-2,1.506219376E-1,1.042767260E-1
9.933333333E0,5.229763945E-2,1.137318258E-2,6.951781737E-2,6.951781737E-2
9.941666667E0,5.268384955E-2,1.195249772E-2,3.475890868E-2,4.634521158E-2
9.950000000E0,5.287695460E-2,1.214560277E-2,1.158630289E-2,-0.000000000E0
9.958333333E0,5.287695460E-2,1.195249772E-2,-5.793151447E-2,-3.475890868E-2
9.966666667E0,5.191142936E-2,1.156628763E-2,-1.042767260E-1,-6.951781737E-2
9.975000000E0,5.113900916E-2,1.079386743E-2,-8.110412026E-2,-9.269042316E-2
9.983333333E0,5.055969402E-2,1.002144724E-2,-1.042767260E-1,-9.269042316E-2
9.991666667E0,4.940106373E-2,9.249027048E-3,-1.506219376E-1,-1.158630289E-1
1.000000000E1,4.804932839E-2,8.090396758E-3,-1.969671492E-1,-1.390356347E-1
1.000833333E1,4.611827791E-2,6.931766469E-3,-2.201397550E-1,-1.390356347E-1
1.001666667E1,4.438033247E-2,5.773136179E-3,-2.780712695E-1,-1.274493318E-1
1.002500000E1,4.148375675E-2,4.807610938E-3,-3.244164810E-1,-1.158630289E-1
1.003333333E1,3.897339112E-2,3.842085697E-3,-3.012438753E-1,-1.158630289E-1
1.004166667E1,3.646302550E-2,2.876560456E-3,-3.475890868E-1,-1.390356347E-1
1.005000000E1,3.318023968E-2,1.524825118E-3,-4.055206013E-1,-1.274493318E-1
1.005833333E1,2.970434881E-2,7.524049252E-4,-4.055206013E-1,-5.793151447E-2
1.006666667E1,2.642156299E-2,5.592998769E-4,-3.939342984E-1,-1.158630289E-2
1.007500000E1,2.313877717E-2,5.592998769E-4,-2.931334632E0,-0.000000000E0
1.008333333E1,-2.243401422E-2,5.592998769E-4,-2.977679844E0,3.475890868E-2
1.009166667E1,-2.648922023E-2,1.138615022E-3,-4.171069042E-1,4.634521158E-2
1.010000000E1,-2.938579595E-2,1.331720070E-3,-3.475890868E-1,5.793151447E-2
1.010833333E1,-3.228237168E-2,2.104140263E-3,-3.707616926E-1,6.951781737E-2
1.011666667E1,-3.556515750E-2,2.490350359E-3,-3.823479955E-1,6.951781737E-2
1.012500000E1,-3.865483827E-2,3.262770552E-3,-3.360027839E-1,1.042767260E-1
1.013333333E1,-4.116520390E-2,4.228295794E-3,-2.548986637E-1,1.274493318E-1
1.014166667E1,-4.290314933E-2,5.386926083E-3,-2.201397550E-1,1.158630289E-1
1.015000000E1,-4.483419981E-2,6.159346276E-3,-2.201397550E-1,9.269042316E-2
1.015833333E1,-4.657214525E-2,6.931766469E-3,-2.201397550E-1,1.042767260E-1
1.016666667E1,-4.850319573E-2,7.897291710E-3,-1.969671492E-1,1.506219376E-1
1.017500000E1,-4.985493107E-2,9.442132096E-3,-1.158630289E-1,9.269042316E-2
1.018333333E1,-5.043424621E-2,9.442132096E-3,-1.042767260E-1,4.634521158E-2
1.019166667E1,-5.159287650E-2,1.021455229E-2,-1.042767260E-1,8.110412026E-2
1.020000000E1,-5.217219165E-2,1.079386743E-2,-3.475890868E-2,2.317260579E-2
1.020833333E1,-5.217219165E-2,1.060076239E-2,2.317260579E-2,-3.475890868E-2
1.021666667E1,-5.178598155E-2,1.021455229E-2,5.793151447E-2,-5.793151447E-2
1.022500000E1,-5.120666641E-2,9.635237144E-3,8.110412026E-2,-5.793151447E-2
1.023333333E1,-5.043424621E-2,9.249027048E-3,6.951781737E-2,-4.634521158E-2
1.024166667E1,-5.004803612E-2,8.862816951E-3,1.042767260E-1,-9.269042316E-2
1.025000000E1,-4.869630078E-2,7.704186662E-3,1.622082405E-1,-9.269042316E-2
1.025833333E1,-4.734456544E-2,7.317976565E-3,1.969671492E-1,-8.110412026E-2
1.026666667E1,-4.541351496E-2,6.352451324E-3,2.317260579E-1,-1.042767260E-1
1.027500000E1,-4.348246448E-2,5.580031131E-3,3.012438753E-1,-1.390356347E-1
1.028333333E1,-4.039278370E-2,4.035190745E-3,3.360027839E-1,-1.737945434E-1
1.029166667E1,-3.788241808E-2,2.683455408E-3,4.055206013E-1,-1.622082405E-1
1.030000000E1,-3.363410702E-2,1.331720070E-3,4.750384187E-1,-8.110412026E-2
1.030833333E1,-2.996511110E-2,1.331720070E-3,3.012438753E-1,-0.000000000E0
1.031666667E1,-2.861337576E-2,1.331720070E-3,3.244164810E-1,-0.000000000E0
1.032500000E1,-2.455816975E-2,1.331720070E-3,5.097973274E-1,-3.475890868E-2
1.033333333E1,-2.011675364E-2,7.524049252E-4,2.827057906E0,-3.475890868E-2
1.034166667E1,2.255946202E-2,7.524049252E-4,2.827057906E0,3.475890868E-2
1.035000000E1,2.700087813E-2,1.331720070E-3,4.634521158E-1,5.793151447E-2
1.035833333E1,3.028366395E-2,1.717930166E-3,3.244164810E-1,2.317260579E-2
1.036666667E1,3.240781948E-2,1.717930166E-3,3.012438753E-1,5.793151447E-2
1.037500000E1,3.530439521E-2,2.683455408E-3,3.012438753E-1,1.274493318E-1
1.038333333E1,3.742855074E-2,3.842085697E-3,3.244164810E-1,1.274493318E-1
1.039166667E1,4.071133656E-2,4.807610938E-3,2.317260579E-1,8.110412026E-2
1.040000000E1,4.129065170E-2,5.193821035E-3,2.085534521E-1,1.042767260E-1
1.040833333E1,4.418722743E-2,6.545556372E-3,2.548986637E-1,1.274493318E-1
1.041666667E1,4.553896276E-2,7.317976565E-3,1.853808463E-1,1.158630289E-1
1.042500000E1,4.727690820E-2,8.476606855E-3,1.390356347E-1,9.269042316E-2
1.043333333E1,4.785622334E-2,8.862816951E-3,1.158630289E-1,4.634521158E-2
1.044166667E1,4.920795868E-2,9.249027048E-3,1.042767260E-1,4.634521158E-2
1.045000000E1,4.959416878E-2,9.635237144E-3,3.475890868E-2,3.475890868E-2
1.045833333E1,4.978727382E-2,9.828342192E-3,2.317260579E-2,2.317260579E-2
1.046666667E1,4.998037887E-2,1.002144724E-2,1.158630289E-2,-1.158630289E-2
1.047500000E1,4.998037887E-2,9.635237144E-3,-4.634521158E-2,-3.475890868E-2
1.048333333E1,4.920795868E-2,9.442132096E-3,-9.269042316E-2,-6.951781737E-2
1.049166667E1,4.843553849E-2,8.476606855E-3,-9.269042316E-2,-8.110412026E-2
1.050000000E1,4.766311829E-2,8.090396758E-3,-1.390356347E-1,-6.951781737E-2
1.050833333E1,4.611827791E-2,7.317976565E-3,-2.201397550E-1,-1.042767260E-1
1.051666667E1,4.399412238E-2,6.352451324E-3,-2.317260579E-1,-1.158630289E-1
1.052500000E1,4.225617694E-2,5.386926083E-3,-2.664849666E-1,-1.390356347E-1
1.053333333E1,3.955270627E-2,4.035190745E-3,-2.548986637E-1,-1.274493318E-1
1.054166667E1,3.800786588E-2,3.262770552E-3,-1.969671492E-1,-1.042767260E-1
1.055000000E1,3.626992045E-2,2.297245311E-3,-2.664849666E-1,-1.158630289E-1
1.055833333E1,3.356644977E-2,1.331720070E-3,-3.823479955E-1,-8.110412026E-2
1.056666667E1,2.989745386E-2,9.455099734E-4,-4.402795100E-1,-3.475890868E-2
1.057500000E1,2.622845794E-2,7.524049252E-4,-3.939342984E-1,-2.317260579E-2
1.058333333E1,2.333188222E-2,5.592998769E-4,-3.707616926E-1,-2.317260579E-2
